"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 19 22:08:21 CST 2022","Tue Apr 19 22:08:21 CST 2022","125","testcase","test_login","Test_Member_Loin","","","test_login[密码错误登录失败1]",""
"passed","Tue Apr 19 22:08:21 CST 2022","Tue Apr 19 22:08:21 CST 2022","125","testcase","test_check_login","TestCheckLogin","","","test_check_login[检测登录状态]",""
"passed","Tue Apr 19 22:08:21 CST 2022","Tue Apr 19 22:08:21 CST 2022","265","testcase","test_login","Test_Member_Loin","","","test_login[密码错误登录失败0]",""
"passed","Tue Apr 19 22:08:20 CST 2022","Tue Apr 19 22:08:20 CST 2022","265","testcase","test_login","Test_Member_Loin","","","test_login[登录成功]",""
"passed","Tue Apr 19 22:08:21 CST 2022","Tue Apr 19 22:08:21 CST 2022","109","testcase","test_login","Test_Member_Loin","","","test_login[账号为空登录失败]",""
"passed","Tue Apr 19 22:08:20 CST 2022","Tue Apr 19 22:08:21 CST 2022","110","testcase","test_login","Test_Member_Loin","","","test_login[账号不存在登录失败]",""
