"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 25 00:56:52 CST 2022","Mon Apr 25 00:56:54 CST 2022","2111","testcase","test_product_info","TestProductInfo","","","test_add_product",""
"passed","Mon Apr 25 00:56:43 CST 2022","Mon Apr 25 00:56:52 CST 2022","8601","testcase","test_login","TestLogin","","","test_login",""
"passed","Mon Apr 25 00:57:00 CST 2022","Mon Apr 25 00:57:12 CST 2022","11641","testcase","test_product_add","TestProductAdd","","","test_product_add",""
"passed","Mon Apr 25 00:56:54 CST 2022","Mon Apr 25 00:57:00 CST 2022","6403","testcase","test_product_search","TestProductSearch","","","test_product_search",""
